Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-10-09,25181.80078125,25199.25,25024.30078125,25074.30078125,286300,,,25181.80078125,25181.80078125,,0.0,0.0,0.0,,,,
2025-10-10,25285.349609375,25330.75,25156.849609375,25167.650390625,232900,,,25197.731370192305,25189.471064814814,,8.260305377491022,1.6520610754982046,6.608244301992817,,,,
2025-10-13,25227.349609375,25267.30078125,25152.30078125,25177.30078125,234300,,,25202.288022374258,25192.276882930386,,10.011139443871798,3.3238767491729235,6.687262694698875,,,,
2025-10-14,25145.5,25310.349609375,25060.55078125,25277.55078125,292100,,,25193.551403547448,25188.811928639247,,4.739474908201373,3.6069963809786136,1.1324785272227595,,,,
2025-10-15,25323.55078125,25365.150390625,25159.349609375,25181.94921875,289900,,,25213.55130780938,25198.79258438819,,14.758723421189643,5.83734178902082,8.921381632168824,,,,
2025-10-16,25585.30078125,25625.400390625,25376.849609375,25394.900390625,372800,,,25270.74353449255,25227.42282119277,,43.320713299781346,13.334016091172925,29.98669720860842,,,,
2025-10-17,25709.849609375,25781.5,25508.599609375,25546.849609375,422100,,,25338.298315243694,25263.1581388359,,75.14017640779275,25.695248154496895,49.444928253295856,,,,
2025-10-20,25843.150390625,25926.19921875,25788.5,25824.599609375,301100,,,25415.96786530236,25306.120527857314,,109.8473374450441,42.52566601260634,67.32167143243777,,,,
2025-10-21,25868.599609375,25934.349609375,25825.80078125,25901.19921875,42500,,,25485.60351823661,25347.785645006774,,137.81787322983655,61.58410745605238,76.23376577378417,,,,
2025-10-23,25891.400390625,26104.19921875,25862.44921875,26057.19921875,448400,,,25548.03380629636,25388.05340394146,,159.98040235490043,81.263366435822,78.71703591907844,,,,
2025-10-24,25795.150390625,25944.150390625,25718.19921875,25935.099609375,284900,,,25586.05174234692,25418.208736288387,,167.84300605853423,98.57929436036444,69.26371169816979,,,,
2025-10-27,25966.05078125,26005.94921875,25827.0,25843.19921875,266300,,,25644.513132947395,25458.789628507766,,185.72350443962932,116.00813637621742,69.7153680634119,,,,
2025-10-28,25936.19921875,26041.69921875,25810.05078125,25939.94921875,395200,,,25689.387915378567,25494.15330185904,,195.23461351952574,131.8534318048791,63.38118171464663,,,,
2025-10-29,26053.900390625,26097.849609375,25960.30078125,25982.0,321900,,,25745.46675772417,25535.616049175038,81.05763519181357,209.85070854913283,147.45288715372988,62.39782139540296,,,,
2025-10-30,25877.849609375,26032.05078125,25845.25,25984.400390625,257400,,,25765.833350285837,25560.966683263923,72.02612650141474,204.8666670219136,158.93564312736663,45.93102389454697,,,,
